id,move_why
7394,Family reasons
7399,Pursuing higher education
7405,Easier commute to work
7411,To get closer to family
7416,Way too expensive
7420,Too expensive to live
7423,Closer to nature/things to do
7424,
7427,"Will need to buy, can't afford"
7432,Unaffordable Housing
7433,Affordability & schools
7435,High rents
7439,Airplane noise
7442,"Too liberal, too expensive"
7444,"Cost of living, space"
7448,Employment
7451,Nature
7452,Cheaper Housing
7458,Cost to buy housing too high
7462,Move to single family
7465,"Somerville sucks, too many bikes, taxes too high, water bills too high"
7466,Buy a house
7468,
7470,Cost of housing
7472,Too expensive
7480,Rent too expensive
7481,Too expensive here
7483,Too expensive/construction
7484,Rent
7489,It's noisy and crowded
7494,Touring schedule of a professional musician
7501,"Can't afford rent, Rent control please."
7502,Rent is excessive. Rent control please.
7505,"Leaving the US/Somerville is too expensive, Union Sq. is unlivable now"
7512,I want to move to the West Coast
7514,rent is too high
7516,"Really, think about it, city environment isn't family friendly like it was"
7529,Housing costs to own
7536,Too expensive
7544,Tired of city living
7551,Bad traffic patterns/new bike roads
7554,Can't afford it
7556,Trying to buy: can't afford Somerville prices
7558,"Probably can't afford it, too much corruption"
7562,Traffic and cost of housing
7563,Rent is getting higher. Too much crowd. No place to st. parking
7565,"Cost of living, and favorite small businesses closing"
7569,"Want to downsize, can't afford to buy in my neighborhood"
7570,Career change
7571,Housing too expensive
7579,Do not like sanctuary city
7587,"We pay a lot to live on red line, it is becoming less & less reliable so no longer seems worth it. Would rather move further out:have more space:green space"
7589,Buy house
7591,Cost/traffic
7592,Cost of purchasing a home in area
7594,To find affordable housing
7595,Bad schools
7600,Cost of housing
7602,Depending on housing costs
7607,Cost of housing + traffic
7608,Job
7610,Affordable housing
7611,Jobs
7619,Traffic is so bad
7623,Back to my country
7624,The rent/mortgage high
7625,I'll go back to my country
7626,
7629,I can't afford my rent
7632,Schools
7635,Cost of rent
7637,Better quality housing
7648,Rent is too high
7649,Buy a house
7651,
7653,Exploring new city/work
7655,Hoping to purchase
7659,"More space, easier commute"
7667,More nature
7669,rent
7671,Personal relationship
7676,Cost of living
7683,
7688,Job opportunities999more in DC
7690,Cannot afford
7693,Price of housing
7695,Spouse died; moving to be closer with family
7696,Tired of city life & New England
7701,Houses are too expensive
7706,"expense, can't afford to buy a home in Mass"
7709,Cost of housing
7716,"Too expensive, not suitable for seniors"
7717,New job
7721,Post Graduate program in UK
7724,Too expensive
7728,Cost of housing
7731,Need more space + cheaper housing to start a family
7734,
7735,Internship out of state for school
7742,Getting married
7748,Can't afford housing for myself + child
7756,Rent
7760,Getting too expensive
7766,I may move for work
7767,It's unaffordable to buy
7768,We want to buy a home but can't afford prices in Somerville
7769,Rent is skyrocketing
7770,Rent = too high
7771,"non999resident, move back home"
7775,
7779,Want to buy own house
7780,"To buy, it's too expensive"
7789,Cost of living
7790,Just want to move out of MA in general
7791,Career & affordability
7792,Move back home
7793,"Elitist, Unfriendly, Racist, Expensive, Cold (emotionally)"
7795,Renting costs
7800,Not enough green streets to name
7804,"Buying a home, too expensive to own here"
7806,Cost + comfort of housing
7808,Cost of housing
7810,Job prospects
7813,Can't afford to buy
7817,Housing Cost
7821,
7822,
7825,"Too crowded, expensive"
7830,Too expensive to buy
7831,"Buy a condo I can afford, Somerville'sway too expensive"
7833,Rent is too high. Buying is out of control
7836,From out of state
7838,Buying a condo
7840,"Too expensive, way too crowded + noisy, lack of green space/water for swimming"
7848,
7849,To have a single family home and better public schools
7850,"Hope to buy, Somerville not in price range"
7861,Because
7862,"I do not want my child in a school system that normalizes school shootings and is dismissive of parent concerns. The school system requires young children to perform active shooter drills to the tune of ""Twinkle Twinkle Little Star"" and the mayor was dismissive toward a parent who complained about this on social media."
7870,Cost of rent vs. space
7873,Can't afford to own house in Somerville
7878,Relocation due to divorce
7882,"Too crowded, too many bicycles, very unsafe999too much traffic"
7883,More space
7885,Too expensive
7887,Airplane noise
7888,Cost of housing/not enough beauty/green space
7892,Cost of housing
7896,"Can't wait to move, don't like what the mayor is doing"
7897,"Lots collect checks, don't work. Rent goes up each year. Rent's high in general."
7901,"Traffic, cost"
7907,Cost
7909,Property tax too high
7910,Cost of housing. We can't afford to buy here and very soon we'll be unable to rent.
7912,Study
7914,We are smitten by Portland: looking to downsize our lives
7919,Want to buy and everything is way too expensive
7920,Buy a house999can't afford Somerville
7923,"If we buy a house, we can't afford to stay"
7934,Too expensive to buy a first home
7937,Grad school
7939,Taxes too high on a fixed income. Lived here for 40 years really don't want to leave
7941,Mayor
7944,
7945,Too many taxes + fees
7949,
7951,West Coast
7953,Can't afford large enough place
7954,"Buying a house, too expensive for single family homes in good condition"
7958,Job
7959,Traffic/cost of housing
7962,Too expensive to live alone
7966,Grad school
7968,It's for the rich
7972,Housing costs
7975,"Lack of green space, cost"
7976,"Cost of housing, parking, and commute"
7977,
7979,ISD. Zoning.
7980,End of school
7981,Rent is high
7984,Moving away for school
7985,New job
7991,Priced out of the area
7992,Work
7993,Cannot afford to purchase
7995,Possible Opportunity
8003,Family lives in Midwest US
8004,Partner + Job
8005,My apartment building is being sold and the cost of rent is far too high.
8006,It's ugly.
8016,Housing costs.Three years of 15% rent increases.
8022,
8026,Cost of living
8027,Cost of housing. All of my artist friends are moving out.
8034,Job's not close to Somerville
8039,Sanctuary City 999999 Illegals before citizens
8052,Housing
8062,"Might have children, cost of rent is too high, and schools have a bad rating"
8067,Property taxes too high. Really don't want to leave.
8070,Need more space for kids
8072,Cost of living
8077,Closer to Boston
8087,I will be priced out
8088,Change of scenery
8089,Rent too high
8092,"No choice, house in probate, can't afford to stay"
8094,Affordability of owning a home
8101,Landlords are brutal
8107,Return to school/grad school
8123,Larger living space
8124,"I want a better quality of life, cheaper, much less crowded, and less noisy"
8126,Anticipating not being able to afford it anymore
8129,City is very dirty
8133,Job Search
8135,Purchasing 1st home and Somerville will not be affordable
8143,Rent too high
8144,
8148,MA/Boston too expensive in general
8151,Back to home state
8152,To be closer to work in Cambridge
8157,To move closer to work + family
8162,"Too congested, traffic is horrific"
8163,Cost of housing/space
8167,Finishing studies
8172,Home ownership is too expensive
8179,Leaving state maybe
8181,Looking to buy + probably can't afford Somerville
8184,Need larger space
8194,Som sucks
8203,Can't afford to buy home
8204,It's getting too expensive
8209,"Cost, be closer to work"
8213,Purchasing a home
8214,Graduating School
8216,Too expensive
8219,In one month! Can't stand what happened to the city I grew up in.
8222,Buying a house here is too expensive
8227,Housing lost
8231,Affordability of home ownership
8236,Cost of housing
8243,Guns
8245,Expensive for limited services
8246,New job
8249,Lower cost housing
8250,Hate it now
8253,"More room, less crowded"
8254,Job opportunity
8264,Affordability for a space big enough for a family
8267,Not happy with Somerville
8271,Medical residency
8272,Back to NYC
8273,Graduate school
8274,Cost of housing
8275,To buy somewhere more affordable
8280,Job
8281,Small space 999 can't afford a bigger space in somerville
8284,
8286,"taxes, unsafe, expensive"
8294,I would love to raise my family here but we will not be able to afford housing
8296,Hoping to buy a home closer to family
8299,work
8304,"Noise, dust, pollution, greed, no green alternatives"
8309,"NY is better, Somerville is all soft white people that complain about everything"
8311,lower cost of living
8315,bigger house
8316,Apartment availability
8317,cost
8319,cost of living
8326,political corruption among many other reasons
8329,cost of housing
8330,"can't afford to buy housing, even an apt."
8332,"traffic, rats, road closures, cost"
8343,"congestion, bad roads, cost of living"
8344,Life
8346,Job
8347,Job
8357,can't afford to live here
8360,costs too much
8361,
8363,Job
8366,work location
8380,
8381,housing cost
8382,Rats
8383,Rats
8384,Rats
8387,
8393,
8396,Too expensive to buy
8397,
8398,traffic
8403,want to buy a house at a lake
8412,Too expensive to live in! Changing demographics
8415,Been here too long
8416,work
8418,"high cost of living, Mayor Curtatone's public comments & policies"
8424,cost of housing
8426,expensive housing
8428,"Affordability (ownership), weather"
8430,"expensive, dirty streets, RATS"
8431,prices
8433,housing prices
8435,to purchase home
8439,Not affordable to buy
8443,retirement
8448,Time for change
8449,cost of living here
8451,grad school
8460,purchased house
8461,rising costs
8466,bought house elsewhere
8468,single 999 family home too expensive
8469,job
8472,more out of the city
8481,younger crowd moving here 999 too loud
8484,Explore new city
8487,Can't afford a single family home
8491,too expensive
8494,Trying to buy a condo.
8505,"corrupt govt; police and mayor, sanctuary, violent city"
8511,Landlord wants my apt.
8514,work
8515,location
8517,Buy a cheaper area
8518,Family reasons
8521,"back home, Europe"
8526,"If my landlady sells or something should happen to her I will have to move because of the ""high"" outrageous rents"
8528,Finishing school
8530,Graduating
8541,cost + traffic
8542,Housing cost
8543,may get married
8548,Too expensive and too corporate! Too many yuppies!
8551,housing cost & availability
8556,Job after school
8557,I expect to be priced out
8562,cost of housing
8563,cost of housing
8564,cost of housing
8565,will buy 999 can't afford Somerville
8570,cannot afford to buy anything
8573,housing cost
8574,work/school
8582,money
8584,housing cost
8586,I won't be able to afford it.
8589,can't afford it
8593,cost of rent
8599,Buy own house
8600,
8606,new house with more land/space
8609,"If Somerville continues focus too much on bikes and the public T and restrict cars,  then it will not be a place to age in place."
8614,Job
8622,"development, disintegration of neighborhoods, cost of housing"
8626,Relocation for jobs.
8628,limited contract in the US
8629,Housing cost
8630,Joining grand kids
8631,cost of living and space
8639,Can't afford it.
8649,Home prices too high
8650,rising cost
8653,too expensive
8670,Housing costs
8675,commuting
8679,Rent is way too high!
8682,better neighborhood/town
8686,
8692,"cost, space, land"
8694,Graduate School
8695,Health
8697,can't afford to buy here
8698,high taxes
8702,The cost of living is very high.
8703,Too many ways to get a fine.
8706,work
8709,going home
8711,too expensive
8712,Can't afford to buy.
8713,To live with girlfriend.
8714,Financial
8715,Returning to a warmer climate.
8716,Job elsewhere
8717,cost
8722,
8723,money
8727,Rent
8729,Graduate school
8730,"cost of living, space"
8734,New T station driving up rent soon.
8747,"more space, better schools"
8750,"too much construction, too expensive, too many rats"
8755,expensive
8756,cost of housing
8758,cost of living
8763,
8774,New job
8776,Job / schooling change
8777,To buy an affordable house
8780,Too expensive to buy.
8782,Family
8784,Job/studies
8785,Studies
8790,cheaper housing
8797,
8810,graduation
8812,"Space, cost of housing"
8819,commute to work
8822,to live closer to work
8837,School
8838,Buying a home
8842,"GLX Construction,  can't get around city easily, Broadway bus/bike lane"
8843,work
8848,cost of housing
8849,Too quiet for me
8850,My landlord wants me out
8851,Cost of single family houses
8852,"Want to buy a house, but can't afford to here"
8855,can't afford childcare
8858,"Excessive cost of housing for old housing, traffic congestion, Red Line failures, slow public transit"
8860,Boyfriend owns in Malden
8862,too expensive
8864,"My once quiet city has become overcrowded with condos and high rises, pricing out long term residences all while making roads smaller at the cost of residents."
8866,too expensive
8872,Closer to work but I love Somerville <3
8874,"My job is term limited, but I don't want another job here due to the cost of housing."
8877,Too expensive / neighborhood being sold to yuppies / green line extension is a scam
8883,House is being sold and can't find something comparable
8884,buying a house nearby
